uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type,duration
STATIC12,GensolCharge Pvt. Ltd.,GensolCharge Pvt. Ltd.,"NDSE Grid, BRPL South Extension",28.568238,77.219666,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,"Card, E-Wallet, UPI","[""7042406677""]",charging,110001,central-delhi,,,15.0,,DC,2.0,BEVC DC 001,['4W'],0 days 23:59:59
STATIC14,REIL,REIL,Scada office kalka ji,28.541995,77.260583,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,E-Wallet,"[""11399999228""]",charging,110001,central-delhi,,,3.3,,AC,3.0,BEVC AC 001,"['2W', '3W', '4W']",0 days 23:59:59
STATIC15,REIL,REIL,Ashram Chowk Mathura Road,28.571189,77.259806,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,E-Wallet,"[""9811024398""]",charging,110001,central-delhi,,,15.0,,DC,2.0,BEVC DC 001,['4W'],0 days 23:59:59
STATIC16,REIL,REIL,Nizamuddin Railway station,28.588991,77.25324,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,Cash/E-Wallet,"[""9717632007""]",charging,110001,central-delhi,,,15.0,,DC,4.0,BEVC DC 001,['4W'],0 days 23:59:59
STATIC17,BluSmart,BluSmart,"BSES Bhawan, Nehru Place, New Delhi 110048",28.549427,77.254636,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,Cash/E-Wallet,"[""7042406677""]",charging,110001,central-delhi,,,15.0,,DC,1.0,BEVC DC 001,['4W'],0 days 23:59:59
STATIC18,Smart E,Smart E,Uttam Nagar East metro station,28.626722,77.065972,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,staffed,E-Wallet,"[""9999875122""]",charging,110001,central-delhi,,,3.3,,AC,20.0,BEVC AC 001,"['2W', '3W', '4W']",0 days 23:59:59
STATIC19,EEE,EEE,"Mukteshwar dham Andheriya bagh,mehrauli",28.510291,77.171653,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,Cash/E-Wallet,"[""9906090044""]",charging,110001,central-delhi,,,15.0,,DC,7.0,BEVC DC 001,['4W'],0 days 23:59:59
STATIC19,EEE,EEE,"Mukteshwar dham Andheriya bagh,mehrauli",28.510291,77.171653,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,unstaffed,Cash/E-Wallet,"[""9906090044""]",charging,110001,central-delhi,,,3.3,,AC,12.0,BEVC AC 001,"['2W', '3W', '4W']",0 days 23:59:59
STATIC20,BluSmart,BluSmart,"Plot No. 24, Behind Fun & Food Village, Kapashera Estate, Kapashera New Delhi 110097",28.5224856,77.0892318,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,staffed,Cash/E-Wallet,"[""9811067012""]",charging,110001,central-delhi,,,3.3,,AC,40.0,BEVC AC 001,"['2W', '3W', '4W']",0 days 23:59:59
STATIC20,BluSmart,BluSmart,"Plot No. 24, Behind Fun & Food Village, Kapashera Estate, Kapashera New Delhi 110097",28.5224856,77.0892318,New Delhi,India,2025-04-26 00:00:00,2025-04-26 23:59:59,,staffed,Cash/E-Wallet,"[""9811067012""]",charging,110001,central-delhi,,,30.0,,DC,13.0,BEVC DC 001,['4W'],0 days 23:59:59
